Date,5 YR,7 YR,10 YR,20 YR,30 YR
7/17/2019,0.23,0.26,0.31,0.54,0.75
7/16/2019,0.25,0.28,0.33,0.56,0.78
7/15/2019,0.23,0.26,0.32,0.55,0.77
7/12/2019,0.24,0.28,0.35,0.58,0.8
7/11/2019,0.25,0.3,0.36,0.59,0.81
7/10/2019,0.23,0.27,0.33,0.55,0.76
7/9/2019,0.32,0.33,0.36,0.57,0.75
7/8/2019,0.31,0.32,0.35,0.56,0.76
7/5/2019,0.29,0.31,0.35,0.58,0.78
7/3/2019,0.23,0.26,0.31,0.54,0.76
7/2/2019,0.25,0.28,0.33,0.57,0.79
7/1/2019,0.26,0.29,0.34,0.59,0.81
6/28/2019,0.23,0.26,0.31,0.55,0.78
6/27/2019,0.23,0.27,0.33,0.55,0.77
6/26/2019,0.24,0.28,0.35,0.58,0.79
6/25/2019,0.21,0.26,0.33,0.57,0.78
6/24/2019,0.18,0.23,0.31,0.55,0.76
6/21/2019,0.2,0.26,0.34,0.59,0.79
6/20/2019,0.16,0.22,0.27,0.5,0.72
6/19/2019,0.24,0.28,0.36,0.58,0.77
6/18/2019,0.34,0.37,0.42,0.63,0.82
6/17/2019,0.4,0.43,0.48,0.68,0.87
6/14/2019,0.37,0.41,0.46,0.67,0.87
6/13/2019,0.33,0.36,0.42,0.63,0.84
6/12/2019,0.35,0.38,0.42,0.64,0.83
6/11/2019,0.35,0.38,0.43,0.63,0.82
6/10/2019,0.31,0.36,0.42,0.62,0.82
6/7/2019,0.24,0.29,0.35,0.56,0.76
6/6/2019,0.3,0.33,0.39,0.6,0.8
6/5/2019,0.27,0.31,0.37,0.58,0.78
6/4/2019,0.3,0.33,0.38,0.58,0.77
6/3/2019,0.27,0.29,0.34,0.54,0.72
5/31/2019,0.35,0.37,0.4,0.58,0.74
5/30/2019,0.44,0.45,0.48,0.66,0.81
5/29/2019,0.46,0.47,0.5,0.68,0.84
5/28/2019,0.48,0.5,0.53,0.71,0.87
5/24/2019,0.5,0.52,0.56,0.73,0.89
5/23/2019,0.49,0.52,0.58,0.74,0.91
5/22/2019,0.51,0.54,0.6,0.77,0.94
5/21/2019,0.51,0.54,0.6,0.77,0.94
5/20/2019,0.5,0.54,0.6,0.78,0.95
5/17/2019,0.46,0.51,0.58,0.78,0.94
5/16/2019,0.43,0.48,0.56,0.77,0.94
5/15/2019,0.41,0.47,0.54,0.75,0.92
5/14/2019,0.45,0.5,0.56,0.76,0.93
5/13/2019,0.45,0.49,0.55,0.74,0.92
5/10/2019,0.51,0.54,0.59,0.77,0.95
5/9/2019,0.52,0.55,0.6,0.79,0.96
5/8/2019,0.53,0.57,0.62,0.81,0.99
5/7/2019,0.49,0.53,0.58,0.77,0.94
5/6/2019,0.49,0.54,0.6,0.79,0.96
5/3/2019,0.53,0.57,0.63,0.81,0.97
5/2/2019,0.56,0.6,0.66,0.84,1
5/1/2019,0.48,0.53,0.59,0.79,0.95
4/30/2019,0.43,0.49,0.56,0.77,0.94
4/29/2019,0.46,0.51,0.58,0.79,0.96
4/26/2019,0.43,0.48,0.54,0.74,0.92
4/25/2019,0.47,0.51,0.56,0.75,0.93
4/24/2019,0.45,0.5,0.57,0.77,0.95
4/23/2019,0.49,0.55,0.62,0.82,0.99
4/22/2019,0.52,0.58,0.64,0.84,1.01
4/18/2019,0.52,0.56,0.62,0.81,0.98
4/17/2019,0.56,0.59,0.65,0.84,1.02
4/16/2019,0.55,0.59,0.64,0.83,1.01
4/15/2019,0.52,0.55,0.61,0.8,0.99
4/12/2019,0.52,0.55,0.61,0.81,0.99
4/11/2019,0.49,0.52,0.57,0.78,0.98
4/10/2019,0.45,0.48,0.54,0.74,0.94
4/9/2019,0.51,0.54,0.6,0.79,0.98
4/8/2019,0.52,0.56,0.61,0.8,0.98
4/5/2019,0.52,0.55,0.6,0.79,0.97
4/4/2019,0.51,0.55,0.61,0.8,0.99
4/3/2019,0.51,0.55,0.61,0.81,0.99
4/2/2019,0.47,0.52,0.58,0.77,0.94
4/1/2019,0.49,0.53,0.59,0.78,0.95
3/29/2019,0.45,0.48,0.53,0.72,0.89
3/28/2019,0.48,0.51,0.56,0.75,0.93
3/27/2019,0.44,0.49,0.55,0.75,0.94
3/26/2019,0.43,0.48,0.55,0.76,0.94
3/25/2019,0.44,0.48,0.55,0.75,0.93
3/22/2019,0.44,0.48,0.54,0.73,0.91
3/21/2019,0.48,0.52,0.58,0.78,0.96
3/20/2019,0.46,0.51,0.58,0.78,0.97
3/19/2019,0.57,0.6,0.66,0.85,1.03
3/18/2019,0.54,0.59,0.64,0.84,1.02
3/15/2019,0.54,0.59,0.65,0.85,1.03
3/14/2019,0.58,0.63,0.69,0.89,1.06
3/13/2019,0.58,0.63,0.69,0.89,1.05
3/12/2019,0.6,0.65,0.71,0.9,1.06
3/11/2019,0.62,0.67,0.73,0.92,1.09
3/8/2019,0.62,0.67,0.72,0.9,1.06
3/7/2019,0.64,0.68,0.74,0.92,1.08
3/6/2019,0.68,0.72,0.78,0.95,1.11
3/5/2019,0.7,0.74,0.79,0.96,1.11
3/4/2019,0.69,0.73,0.78,0.95,1.11
3/1/2019,0.71,0.75,0.8,0.98,1.13
2/28/2019,0.68,0.73,0.78,0.96,1.11
2/27/2019,0.65,0.7,0.76,0.94,1.1
2/26/2019,0.63,0.67,0.72,0.89,1.05
2/25/2019,0.66,0.7,0.75,0.91,1.06
2/22/2019,0.65,0.68,0.74,0.9,1.06
2/21/2019,0.71,0.73,0.78,0.94,1.1
2/20/2019,0.68,0.71,0.76,0.92,1.07
2/19/2019,0.71,0.73,0.78,0.94,1.08
2/15/2019,0.74,0.76,0.8,0.96,1.1
2/14/2019,0.74,0.77,0.81,0.97,1.12
2/13/2019,0.77,0.8,0.85,1,1.14
2/12/2019,0.78,0.81,0.85,1,1.14
2/11/2019,0.78,0.8,0.83,0.99,1.13
2/8/2019,0.75,0.77,0.81,0.97,1.1
2/7/2019,0.77,0.79,0.81,0.98,1.11
2/6/2019,0.79,0.81,0.84,1,1.13
2/5/2019,0.79,0.81,0.84,0.99,1.11
2/4/2019,0.81,0.83,0.86,1.01,1.14
2/1/2019,0.79,0.8,0.82,0.98,1.11
1/31/2019,0.73,0.75,0.78,0.94,1.08
1/30/2019,0.81,0.83,0.86,1.03,1.17
1/29/2019,0.93,0.93,0.94,1.09,1.2
1/28/2019,0.96,0.96,0.97,1.12,1.23
1/25/2019,0.95,0.95,0.97,1.11,1.22
1/24/2019,0.93,0.94,0.95,1.09,1.2
1/23/2019,0.95,0.95,0.96,1.1,1.21
1/22/2019,0.94,0.94,0.95,1.09,1.2
1/18/2019,0.95,0.95,0.96,1.1,1.21
1/17/2019,0.94,0.95,0.96,1.1,1.21
1/16/2019,0.9,0.9,0.91,1.06,1.2
1/15/2019,0.9,0.9,0.91,1.08,1.21
1/14/2019,0.89,0.88,0.9,1.07,1.2
1/11/2019,0.86,0.86,0.88,1.05,1.18
1/10/2019,0.91,0.91,0.93,1.08,1.2
1/9/2019,0.89,0.9,0.91,1.05,1.16
1/8/2019,0.92,0.91,0.91,1.03,1.15
1/7/2019,0.92,0.92,0.92,1.06,1.18
1/4/2019,0.91,0.91,0.91,1.05,1.17
1/3/2019,0.88,0.88,0.88,1.01,1.14
1/2/2019,1,0.98,0.96,1.07,1.19
12/31/2018,1,0.99,0.98,1.09,1.21
12/28/2018,1.04,1.01,0.99,1.11,1.21
12/27/2018,1.07,1.05,1.03,1.14,1.22
12/26/2018,1.1,1.08,1.04,1.13,1.21
12/24/2018,1.06,1.01,0.99,1.09,1.15
12/21/2018,1.09,1.04,1.02,1.11,1.17
12/20/2018,1.12,1.06,1.03,1.1,1.16
12/19/2018,1.06,1.01,0.97,1.06,1.11
12/18/2018,1.07,1.04,1.01,1.09,1.17
12/17/2018,1.11,1.08,1.05,1.15,1.22
12/14/2018,1.13,1.1,1.07,1.15,1.23
12/13/2018,1.13,1.1,1.08,1.18,1.25
12/12/2018,1.15,1.11,1.08,1.16,1.24
12/11/2018,1.13,1.09,1.06,1.16,1.22
12/10/2018,1.06,1.02,0.99,1.1,1.19
12/7/2018,1.02,0.99,0.96,1.06,1.17
12/6/2018,1.06,1.02,0.97,1.08,1.15
12/4/2018,1.05,1.01,0.97,1.06,1.16
12/3/2018,1.07,1.04,1.02,1.13,1.23
11/30/2018,1.07,1.06,1.04,1.15,1.26
11/29/2018,1.06,1.05,1.05,1.16,1.28
11/28/2018,1.13,1.13,1.12,1.23,1.34
11/27/2018,1.16,1.15,1.15,1.24,1.34
11/26/2018,1.12,1.12,1.11,1.2,1.3
11/23/2018,1.11,1.1,1.09,1.18,1.29
11/21/2018,1.08,1.08,1.09,1.2,1.28
11/20/2018,1.06,1.07,1.09,1.19,1.28
11/19/2018,1.02,1.04,1.07,1.17,1.26
11/16/2018,1.02,1.04,1.06,1.17,1.25
11/15/2018,1.09,1.1,1.11,1.21,1.3
11/14/2018,1.1,1.11,1.12,1.22,1.3
11/13/2018,1.11,1.11,1.12,1.22,1.29
11/9/2018,1.15,1.15,1.15,1.24,1.31
11/8/2018,1.17,1.17,1.17,1.24,1.32
11/7/2018,1.14,1.14,1.15,1.25,1.32
11/6/2018,1.13,1.14,1.15,1.25,1.32
11/5/2018,1.12,1.12,1.14,1.25,1.33
11/2/2018,1.13,1.14,1.16,1.27,1.37
11/1/2018,1.08,1.1,1.12,1.23,1.32
10/31/2018,1.08,1.08,1.1,1.21,1.31
10/30/2018,1.03,1.05,1.07,1.19,1.28
10/29/2018,0.99,1.01,1.02,1.15,1.25
10/26/2018,0.98,1,1.02,1.14,1.23
10/25/2018,1.07,1.08,1.09,1.2,1.28
10/24/2018,1.01,1.02,1.03,1.15,1.24
10/23/2018,1.07,1.07,1.08,1.18,1.26
10/22/2018,1.07,1.08,1.09,1.19,1.26
10/19/2018,1.07,1.08,1.09,1.18,1.26
10/18/2018,1.04,1.05,1.07,1.17,1.24
10/17/2018,1.04,1.05,1.06,1.15,1.21
10/16/2018,1.01,1.02,1.03,1.12,1.19
10/15/2018,1.01,1.02,1.03,1.12,1.19
10/12/2018,1.01,1.02,1.03,1.12,1.18
10/11/2018,1.01,1.01,1.02,1.11,1.18
10/10/2018,1.01,1.03,1.06,1.15,1.23
10/9/2018,1,1.02,1.04,1.12,1.19
10/5/2018,1.02,1.04,1.07,1.15,1.23
10/4/2018,0.99,1.01,1.03,1.11,1.18
10/3/2018,0.95,0.96,0.99,1.06,1.13
10/2/2018,0.91,0.92,0.93,1,1.07
10/1/2018,0.92,0.93,0.95,1.03,1.09
9/28/2018,0.91,0.91,0.91,0.97,1.04
9/27/2018,0.92,0.92,0.91,0.97,1.03
9/26/2018,0.92,0.92,0.92,0.97,1.03
9/25/2018,0.94,0.94,0.94,0.99,1.05
9/24/2018,0.93,0.93,0.92,0.98,1.04
9/21/2018,0.93,0.93,0.92,0.98,1.03
9/20/2018,0.94,0.93,0.92,0.98,1.04
9/19/2018,0.94,0.94,0.93,1,1.06
9/18/2018,0.93,0.92,0.92,0.98,1.05
9/17/2018,0.9,0.89,0.89,0.95,1.01
9/14/2018,0.9,0.9,0.89,0.95,1
9/13/2018,0.89,0.88,0.87,0.93,0.98
9/12/2018,0.85,0.85,0.85,0.92,0.97
9/11/2018,0.86,0.86,0.86,0.92,0.99
9/10/2018,0.85,0.85,0.84,0.9,0.96
9/7/2018,0.84,0.84,0.84,0.92,0.97
9/6/2018,0.79,0.8,0.8,0.88,0.94
9/5/2018,0.79,0.8,0.81,0.89,0.95
9/4/2018,0.79,0.79,0.8,0.88,0.94
8/31/2018,0.76,0.76,0.78,0.85,0.91
8/30/2018,0.76,0.76,0.76,0.82,0.88
8/29/2018,0.78,0.78,0.77,0.83,0.9
8/28/2018,0.78,0.77,0.77,0.84,0.91
8/27/2018,0.74,0.74,0.74,0.81,0.88
8/24/2018,0.73,0.73,0.73,0.79,0.86
8/23/2018,0.73,0.73,0.73,0.81,0.87
8/22/2018,0.74,0.74,0.74,0.82,0.89
8/21/2018,0.76,0.76,0.77,0.84,0.9
8/20/2018,0.75,0.75,0.75,0.82,0.89
8/17/2018,0.79,0.79,0.79,0.85,0.92
8/16/2018,0.78,0.78,0.79,0.86,0.92
8/15/2018,0.76,0.77,0.78,0.86,0.93
8/14/2018,0.78,0.79,0.8,0.88,0.95
8/13/2018,0.76,0.77,0.78,0.86,0.93
8/10/2018,0.77,0.77,0.78,0.86,0.92
8/9/2018,0.83,0.83,0.82,0.88,0.95
8/8/2018,0.85,0.85,0.85,0.91,0.98
8/7/2018,0.84,0.84,0.85,0.92,0.99
8/6/2018,0.82,0.82,0.83,0.9,0.96
8/3/2018,0.82,0.82,0.83,0.9,0.95
8/2/2018,0.86,0.86,0.86,0.92,0.97
8/1/2018,0.87,0.87,0.87,0.93,0.97
7/31/2018,0.85,0.85,0.84,0.88,0.94
7/30/2018,0.84,0.85,0.85,0.91,0.96
7/27/2018,0.84,0.84,0.84,0.89,0.95
7/26/2018,0.86,0.86,0.87,0.92,0.97
7/25/2018,0.81,0.81,0.81,0.88,0.94
7/24/2018,0.83,0.83,0.84,0.9,0.96
7/23/2018,0.82,0.83,0.85,0.92,0.98
7/20/2018,0.75,0.76,0.78,0.85,0.92
7/19/2018,0.73,0.74,0.75,0.81,0.87
7/18/2018,0.74,0.77,0.79,0.85,0.89
7/17/2018,0.73,0.75,0.77,0.82,0.86
7/16/2018,0.7,0.73,0.75,0.81,0.84
7/13/2018,0.66,0.7,0.72,0.78,0.82
7/12/2018,0.69,0.72,0.75,0.8,0.84
7/11/2018,0.67,0.71,0.74,0.8,0.83
7/10/2018,0.68,0.72,0.74,0.81,0.85
7/9/2018,0.65,0.7,0.73,0.8,0.84
7/6/2018,0.63,0.68,0.7,0.77,0.81
7/5/2018,0.64,0.68,0.71,0.77,0.82
7/3/2018,0.64,0.68,0.71,0.78,0.83
7/2/2018,0.68,0.72,0.73,0.8,0.85
6/29/2018,0.67,0.71,0.74,0.81,0.87
6/28/2018,0.66,0.7,0.74,0.82,0.87
6/27/2018,0.64,0.69,0.72,0.8,0.86
6/26/2018,0.68,0.72,0.76,0.84,0.9
6/25/2018,0.69,0.74,0.77,0.85,0.91
6/22/2018,0.7,0.75,0.78,0.86,0.92
6/21/2018,0.72,0.76,0.79,0.88,0.94
6/20/2018,0.74,0.78,0.81,0.89,0.95
6/19/2018,0.7,0.74,0.77,0.85,0.91
6/18/2018,0.72,0.77,0.8,0.87,0.93
6/15/2018,0.73,0.77,0.81,0.88,0.93
6/14/2018,0.74,0.78,0.82,0.89,0.94
6/13/2018,0.76,0.82,0.86,0.94,0.98
6/12/2018,0.74,0.8,0.83,0.91,0.96
6/11/2018,0.72,0.78,0.83,0.91,0.97
6/8/2018,0.71,0.78,0.82,0.9,0.96
6/7/2018,0.69,0.76,0.8,0.89,0.94
6/6/2018,0.75,0.83,0.83,0.91,0.97
6/5/2018,0.71,0.79,0.79,0.87,0.94
6/4/2018,0.72,0.81,0.82,0.9,0.96
6/1/2018,0.68,0.76,0.8,0.89,0.94
5/31/2018,0.65,0.75,0.76,0.84,0.91
5/30/2018,0.67,0.78,0.78,0.87,0.93
5/29/2018,0.6,0.71,0.73,0.83,0.89
5/25/2018,0.72,0.84,0.84,0.92,0.99
5/24/2018,0.71,0.82,0.86,0.95,1
5/23/2018,0.71,0.83,0.87,0.96,1.02
5/22/2018,0.77,0.91,0.91,0.98,1.04
5/21/2018,0.75,0.86,0.9,0.99,1.03
5/18/2018,0.76,0.87,0.91,0.99,1.04
5/17/2018,0.78,0.9,0.95,1.02,1.07
5/16/2018,0.78,0.92,0.92,0.98,1.02
5/15/2018,0.77,0.9,0.9,0.97,1.02
5/14/2018,0.73,0.85,0.85,0.92,0.97
5/11/2018,0.71,0.82,0.82,0.88,0.94
5/10/2018,0.71,0.8,0.8,0.88,0.94
5/9/2018,0.71,0.82,0.82,0.91,0.97
5/8/2018,0.71,0.81,0.81,0.89,0.96
5/7/2018,0.67,0.76,0.78,0.88,0.94
5/4/2018,0.69,0.79,0.79,0.87,0.94
5/3/2018,0.69,0.77,0.78,0.88,0.94
5/2/2018,0.71,0.8,0.8,0.89,0.95
5/1/2018,0.73,0.8,0.81,0.89,0.94
4/30/2018,0.69,0.76,0.78,0.86,0.91
4/27/2018,0.71,0.79,0.79,0.87,0.93
4/26/2018,0.72,0.82,0.82,0.92,0.99
4/25/2018,0.75,0.86,0.86,0.95,1.03
4/24/2018,0.73,0.83,0.83,0.93,1.01
4/23/2018,0.72,0.79,0.8,0.89,0.97
4/20/2018,0.7,0.78,0.79,0.88,0.96
4/19/2018,0.65,0.74,0.75,0.84,0.92
4/18/2018,0.69,0.71,0.71,0.81,0.89
4/17/2018,0.67,0.68,0.68,0.78,0.85
4/16/2018,0.61,0.67,0.71,0.81,0.89
4/13/2018,0.66,0.69,0.69,0.79,0.88
4/12/2018,0.62,0.69,0.7,0.82,0.9
4/11/2018,0.56,0.63,0.68,0.8,0.88
4/10/2018,0.62,0.7,0.72,0.84,0.92
4/9/2018,0.58,0.67,0.71,0.83,0.92
4/6/2018,0.57,0.66,0.7,0.83,0.92
4/5/2018,0.71,0.75,0.75,0.87,0.97
4/4/2018,0.57,0.66,0.71,0.85,0.93
4/3/2018,0.61,0.7,0.71,0.84,0.92
4/2/2018,0.56,0.64,0.68,0.81,0.9
3/29/2018,0.64,0.69,0.69,0.81,0.9
3/28/2018,0.68,0.72,0.72,0.84,0.94
3/27/2018,0.64,0.71,0.71,0.84,0.95
3/26/2018,0.63,0.74,0.77,0.91,0.99
3/23/2018,0.6,0.72,0.75,0.89,0.98
3/22/2018,0.6,0.71,0.75,0.89,0.97
3/21/2018,0.73,0.8,0.8,0.92,1.03
3/20/2018,0.64,0.74,0.81,0.94,1.03
3/19/2018,0.61,0.72,0.77,0.91,1
3/16/2018,0.6,0.71,0.77,0.91,1
3/15/2018,0.55,0.66,0.74,0.88,0.97
3/14/2018,0.57,0.69,0.74,0.88,0.97
3/13/2018,0.57,0.69,0.75,0.9,1
3/12/2018,0.62,0.74,0.77,0.92,1.01
3/9/2018,0.69,0.77,0.78,0.92,1.03
3/8/2018,0.55,0.68,0.75,0.9,1
3/7/2018,0.55,0.68,0.76,0.93,1.03
3/6/2018,0.55,0.68,0.76,0.91,1.01
3/5/2018,0.6,0.73,0.75,0.91,1.01
3/2/2018,0.6,0.73,0.74,0.89,0.98
3/1/2018,0.55,0.66,0.71,0.86,0.96
2/28/2018,0.61,0.71,0.75,0.9,0.99
2/27/2018,0.58,0.69,0.77,0.92,1.02
2/26/2018,0.53,0.65,0.73,0.9,1.01
2/23/2018,0.58,0.7,0.76,0.92,1.03
2/22/2018,0.6,0.72,0.81,0.96,1.06
2/21/2018,0.63,0.75,0.82,0.97,1.06
2/20/2018,0.61,0.72,0.78,0.92,1.01
2/16/2018,0.63,0.75,0.78,0.92,1.01
2/15/2018,0.65,0.76,0.79,0.93,1.02
2/14/2018,0.74,0.82,0.82,0.94,1.02
2/13/2018,0.66,0.77,0.78,0.91,0.99
2/12/2018,0.72,0.79,0.79,0.92,1.01
2/9/2018,0.69,0.77,0.78,0.91,1.01
2/8/2018,0.68,0.76,0.76,0.89,0.99
2/7/2018,0.67,0.73,0.74,0.86,0.96
2/6/2018,0.64,0.69,0.69,0.82,0.91
2/5/2018,0.55,0.65,0.67,0.81,0.89
2/2/2018,0.65,0.7,0.7,0.82,0.9
2/1/2018,0.63,0.67,0.67,0.78,0.86
1/31/2018,0.54,0.6,0.61,0.72,0.8
1/30/2018,0.54,0.63,0.63,0.76,0.84
1/29/2018,0.57,0.61,0.61,0.73,0.81
1/26/2018,0.54,0.57,0.57,0.7,0.8
1/25/2018,0.5,0.55,0.56,0.69,0.79
1/24/2018,0.47,0.57,0.58,0.73,0.82
1/23/2018,0.51,0.56,0.57,0.71,0.81
1/22/2018,0.46,0.55,0.6,0.74,0.83
1/19/2018,0.45,0.53,0.58,0.72,0.81
1/18/2018,0.44,0.53,0.57,0.72,0.81
1/17/2018,0.49,0.51,0.53,0.67,0.79
1/16/2018,0.42,0.48,0.51,0.67,0.78
1/12/2018,0.43,0.51,0.54,0.7,0.81
1/11/2018,0.43,0.51,0.54,0.71,0.83
1/10/2018,0.38,0.47,0.52,0.7,0.82
1/9/2018,0.38,0.46,0.52,0.7,0.82
1/8/2018,0.38,0.45,0.47,0.65,0.77
1/5/2018,0.34,0.41,0.46,0.63,0.76
1/4/2018,0.35,0.41,0.45,0.62,0.75
1/3/2018,0.38,0.44,0.46,0.63,0.76
1/2/2018,0.35,0.42,0.46,0.64,0.77
12/29/2017,0.34,0.4,0.44,0.61,0.73
12/28/2017,0.37,0.43,0.47,0.64,0.75
12/27/2017,0.4,0.47,0.48,0.64,0.76
12/26/2017,0.49,0.51,0.53,0.7,0.83
12/22/2017,0.44,0.51,0.54,0.72,0.84
12/21/2017,0.42,0.5,0.55,0.73,0.85
12/20/2017,0.5,0.56,0.57,0.75,0.89
12/19/2017,0.49,0.53,0.55,0.71,0.84
12/18/2017,0.46,0.48,0.5,0.66,0.79
12/15/2017,0.39,0.44,0.47,0.63,0.75
12/14/2017,0.38,0.45,0.48,0.65,0.77
12/13/2017,0.38,0.46,0.48,0.67,0.79
12/12/2017,0.4,0.49,0.51,0.69,0.81
12/11/2017,0.4,0.49,0.51,0.7,0.82
12/8/2017,0.43,0.48,0.5,0.68,0.81
12/7/2017,0.4,0.49,0.5,0.69,0.81
12/6/2017,0.37,0.44,0.47,0.65,0.77
12/5/2017,0.46,0.48,0.5,0.65,0.78
12/4/2017,0.39,0.47,0.5,0.68,0.8
12/1/2017,0.41,0.5,0.51,0.69,0.81
11/30/2017,0.41,0.52,0.56,0.76,0.88
11/29/2017,0.4,0.52,0.53,0.75,0.88
11/28/2017,0.38,0.48,0.5,0.7,0.85
11/27/2017,0.37,0.46,0.49,0.69,0.84
11/24/2017,0.36,0.49,0.5,0.71,0.85
11/22/2017,0.3,0.42,0.48,0.69,0.82
11/21/2017,0.36,0.47,0.52,0.72,0.84
11/20/2017,0.35,0.48,0.52,0.72,0.85
11/17/2017,0.31,0.45,0.49,0.71,0.85
11/16/2017,0.28,0.43,0.53,0.74,0.87
11/15/2017,0.26,0.4,0.48,0.71,0.85
11/14/2017,0.27,0.41,0.51,0.75,0.89
11/13/2017,0.29,0.44,0.52,0.76,0.91
11/10/2017,0.28,0.45,0.52,0.77,0.92
11/9/2017,0.21,0.36,0.46,0.71,0.86
11/8/2017,0.24,0.39,0.45,0.69,0.84
11/7/2017,0.19,0.34,0.44,0.69,0.84
11/6/2017,0.22,0.38,0.46,0.71,0.87
11/3/2017,0.25,0.41,0.48,0.73,0.88
11/2/2017,0.21,0.37,0.48,0.74,0.89
11/1/2017,0.3,0.46,0.49,0.72,0.91
10/31/2017,0.22,0.38,0.5,0.77,0.92
10/30/2017,0.23,0.41,0.5,0.77,0.93
10/27/2017,0.27,0.44,0.54,0.81,0.97
10/26/2017,0.31,0.47,0.57,0.84,1
10/25/2017,0.32,0.51,0.56,0.83,0.99
10/24/2017,0.32,0.5,0.55,0.81,0.97
10/23/2017,0.32,0.48,0.52,0.75,0.95
10/20/2017,0.27,0.43,0.52,0.79,0.95
10/19/2017,0.32,0.46,0.49,0.72,0.91
10/18/2017,0.3,0.47,0.5,0.76,0.93
10/17/2017,0.28,0.41,0.48,0.73,0.89
10/16/2017,0.29,0.43,0.46,0.7,0.89
10/13/2017,0.2,0.35,0.43,0.7,0.89
10/12/2017,0.16,0.33,0.44,0.73,0.9
10/11/2017,0.2,0.39,0.46,0.75,0.93
10/10/2017,0.2,0.39,0.47,0.77,0.94
10/6/2017,0.19,0.35,0.5,0.8,0.97
10/5/2017,0.2,0.39,0.49,0.78,0.95
10/4/2017,0.19,0.39,0.48,0.77,0.94
10/3/2017,0.24,0.46,0.49,0.77,0.94
10/2/2017,0.21,0.39,0.51,0.79,0.95
9/29/2017,0.24,0.46,0.49,0.77,0.94
9/28/2017,0.16,0.37,0.44,0.74,0.92
9/27/2017,0.17,0.38,0.44,0.74,0.92
9/26/2017,0.15,0.35,0.4,0.69,0.87
9/25/2017,0.13,0.33,0.38,0.67,0.85
9/22/2017,0.17,0.37,0.42,0.7,0.88
9/21/2017,0.19,0.37,0.44,0.72,0.9
9/20/2017,0.18,0.36,0.43,0.72,0.9
9/19/2017,0.1,0.28,0.37,0.68,0.87
9/18/2017,0.09,0.27,0.36,0.67,0.86
9/15/2017,0.09,0.28,0.35,0.65,0.84
9/14/2017,0.09,0.28,0.35,0.65,0.85
9/13/2017,0.1,0.29,0.35,0.67,0.87
9/12/2017,0.08,0.27,0.33,0.65,0.85
9/11/2017,0.08,0.29,0.31,0.63,0.84
9/8/2017,0.01,0.2,0.25,0.57,0.79
9/7/2017,0.02,0.2,0.26,0.58,0.8
9/6/2017,0.09,0.29,0.32,0.63,0.85
9/5/2017,0.07,0.27,0.3,0.62,0.83
9/1/2017,0.1,0.24,0.37,0.69,0.9
8/31/2017,0.12,0.31,0.36,0.67,0.87
8/30/2017,0.15,0.31,0.39,0.7,0.91
8/29/2017,0.16,0.36,0.39,0.7,0.9
8/28/2017,0.18,0.37,0.41,0.71,0.92
8/25/2017,0.2,0.39,0.42,0.72,0.91
